,RP11.798L4.1,RP11.408N14.1,RP11.148B18.4,AC114730.2,LINC00652,RP11.662B19.2,RP11.371A19.2,CTD.2529P6.3,AC003991.3,AC005498.3,RP11.888D10.3,GS1.410F4.4,AC002310.7,RP6.65G23.1,BX936347.1,RP11.145H9.3,RP11.134O21.1,RP11.1079K10.2,LINC00665,RP11.656D10.6,RP11.408A13.3,AC122129.1,RP11.182L21.6,RP11.563P16.1,DCTN1.AS1,ARHGAP5.AS1,RP11.247I13.11,SSTR5.AS1,RP11.45A16.4,CTD.2062F14.3
TCGA.AO.A03M,-0.601704709,-0.418397667,0.500762126,0.673416413,-0.986288835,0.861178545,-0.9377127,0.36592653,-0.313289527,0.240310774,-0.542520773,0.185051625,1.143727693,0.119914364,0.614456587,0.275489837,-0.892222022,0.445180154,1.192391082,1.027483548,1.264780955,-0.929556469,0.200816526,-1.384246109,-0.663409835,-0.869434003,0.196504428,-0.146321263,0.49443406,0.477353931
TCGA.AO.A03V,-0.601704709,-0.418397667,0.833052135,-0.248876997,-0.178648379,0.779914652,0.365135228,0.093645608,-0.143986628,0.920017529,0.166096741,0.936999941,0.960644732,0.041716715,-0.422487227,0.819547531,-1.053682941,-0.768882119,2.437878141,-0.463197618,0.416068408,-0.247172336,1.240073513,-1.384246109,-0.71235031,1.031413494,-1.498091122,0.746235522,-0.229573043,-1.410834496
TCGA.AO.A0J8,1.249763676,-0.418397667,0.414890068,0.111765543,0.183476962,0.773147797,0.55948563,-1.253179655,-0.186342389,0.578125989,2.217576451,0.134023463,0.063360961,-0.111410351,1.369541334,0.90845249,-1.201729433,0.490784343,-0.538863039,0.188729515,0.070494439,0.180403858,-1.819276224,-0.072149562,-0.123746702,-0.172213695,-0.351351033,-0.545520602,0.68931858,1.341938037
TCGA.AO.A0J9,-0.601704709,1.297027808,0.02104555,-0.549770782,0.726628286,-1.14589498,1.258811805,0.067237087,-0.16636498,0.110390717,-0.716501567,1.953819693,0.379834931,-0.160504492,1.383047136,-0.989570578,-0.1260889,-1.764485141,-0.064981656,-1.503290605,1.738662519,-0.009798142,-1.827062242,0.191388304,0.715425196,0.882143321,1.163862901,-0.545520602,-0.245603977,-0.027430432
TCGA.AO.A0JB,-0.601704709,-0.418397667,-1.494979156,-0.130328809,0.440193303,-1.14589498,-0.9377127,-1.253179655,-1.317469103,2.162077942,-2.549524727,1.536007563,1.391288824,0.298374524,2.227365145,-0.989570578,1.306500553,0.079592464,2.02265037,-1.645883026,2.476100918,-0.226746927,-0.251810733,-1.384246109,2.694325789,1.287480088,2.430235902,0.321922806,2.702852114,-1.410834496
TCGA.AO.A0JF,-0.601704709,-0.418397667,1.009162615,0.700619607,-0.661973836,0.234815995,-0.9377127,0.107268627,-0.132456573,0.65625912,-0.332658584,0.956111206,-1.512292698,0.053587813,-0.482362077,0.837576415,0.235395986,-0.758811682,-1.191539804,-0.154802613,-1.488525341,1.104943999,0.461600255,0.69528055,-0.040454291,-1.10872982,-1.114661955,0.267636506,-0.221303374,-0.399310217
TCGA.AO.A0JI,-0.601704709,-0.418397667,-1.494979156,-0.49774094,0.285296228,0.251264142,-0.9377127,0.123475389,1.7389791,1.429529123,-1.059761794,1.406909995,-0.365138028,-0.118215825,0.242800793,-0.989570578,-0.702376487,-0.015530901,0.041304359,0.144858526,0.029886451,0.424890434,2.045045115,-0.038582483,1.9445936,0.292114036,-0.364391154,3.480198012,0.793080466,0.843148125
TCGA.AO.A0JM,-0.601704709,-0.418397667,1.537187598,-0.678067943,-1.068530614,-1.14589498,-0.9377127,-1.253179655,0.124075936,0.135331782,0.755980267,1.896950954,0.440627905,-0.359798781,-0.10491918,-0.989570578,0.679383071,-0.532439377,-0.759253914,2.295678585,-1.488525341,-1.760187888,-0.018065495,3.625387808,-0.127513688,1.76988399,-0.483567698,0.034026578,-1.047145051,-1.410834496
TCGA.AO.A12D,-0.601704709,1.544872341,-1.494979156,0.414279561,-0.435432201,0.387803333,0.524133462,-1.253179655,2.376211667,-1.782475577,1.475858424,0.549390408,-1.512292698,1.930600229,-0.287289753,-0.989570578,0.455552959,0.152420557,-1.05675423,-1.284787955,-0.123399587,0.666294392,-1.586503237,1.49075668,0.660220631,1.848405836,0.825411453,-0.020040701,-1.047145051,0.170707982
TCGA.AO.A12E,-0.601704709,-0.418397667,1.253460358,1.031685115,0.687923833,2.74048083,0.956909353,0.35025262,0.135772913,-1.0843005,-0.965706428,-0.966699684,1.118781594,0.668056066,-0.708382859,-0.101308109,0.745163272,0.424325979,-0.683253835,0.780979815,-0.459474824,0.792275718,-0.580955697,0.361148231,1.225314844,0.320051711,0.365802515,0.484083452,-1.047145051,0.459356496
