ID,TT1C62,TT1C416,TT1C347,TT1C163,TT1C339,TT1C820,TT1C502,TT1C429,TT1C806,TT1C359,TT1C44,TT1C814,TT1C248,TT1C570,TT1C380,TT1C837,TT1C63,TT1C415,TT1C877,TT1C615,TT1C677,TT1C39,TT1C729,TT1C46,TT1C851,TT1C685,TT1C648,TT1C614,TT1C169,TT1C673,TADC596,TADC498,TADC392,TADC521,TADC335,TADC686,TADC395,TADC578,TADC503,TADC44,TADC338,TADC428,TADC90,TADC581,TADC614,TADC592,TADC126,TADC522,TADC671,TADC689,TADC183,TADC674,TADC676,TADC336,TADC267,TADC507,TADC464,TADC380,TADC693,TADC41,TT2FS44,TT2FS63,TT2FS276,TT2FS293,TT2FS250,TT2FS333,TT2FS693,TT2FS477,TT2FS678,TT2FS648,TT2FS498,TT2FS41,TT2FS505,TT2FS348,TT2FS488,TT2FS249,TT2FS295,TT2FS626,TT2FS105,TT2FS508,TT2FS384,TT2FS677,TT2FS545,TT2FS521,TT2FS829,TT2FS479,TT2FS506,TT2FS405,TT2FS45,TT2FS433,LT1C877,LT1C62,LT1C834,LT1C806,LT1C133,LT1C678,LT1C319,LT1C598,LT1C620,LT1C807,LT1C90,LT1C618,LT1C675,LT1C63,LT1C226,LT1C671,LT1C399,LT1C41,LT1C44,LT1C105,LT1C505,LT1C668,LT1C198,LT1C677,LT1C183,LT1C617,LT1C185,LT1C528,LT1C519,LT1C621,LADC617,LADC678,LADC44,LADC524,LADC41,LADC589,LADC337,LADC676,LADC616,LADC392,LADC598,LADC691,LADC674,LADC48,LADC784,LADC619,LADC690,LADC578,LADC39,LADC767,LADC202,LADC648,LADC621,LADC45,LADC71,LADC397,LADC583,LADC340,LADC526,LADC242,LT2FS620,LT2FS617,LT2FS675,LT2FS585,LT2FS524,LT2FS678,LT2FS714,LT2FS784,LT2FS44,LT2FS764,LT2FS689,LT2FS62,LT2FS771,LT2FS342,LT2FS117,LT2FS399,LT2FS806,LT2FS338,LT2FS411,LT2FS319,LT2FS226,LT2FS578,LT2FS589,LT2FS41,LT2FS492,LT2FS674,LT2FS621,LT2FS107,LT2FS410,LT2FS834
ZENAC103,-1.212744564,-0.508758686,-0.503650034,-7.113282359,-0.164446004,0.139048073,-0.616113578,-0.45028675,-1.118076718,-1.011398088,2.2836441,-0.796922327,-1.302778432,-0.343397487,-0.61763716,-0.494805702,3.402225962,1.396351304,-0.138976606,0.075583038,-0.657144955,-0.289740248,-0.698035219,-0.44903091,8.73100011,-0.606655053,0.160507402,1.161209932,-3.56713425,-0.315506334,-0.131317132,-0.117462272,-1.332085922,-0.126027069,-0.123169405,-0.115472996,-0.115193334,-1.450598113,-0.116251927,-0.054122231,-1.449568845,-0.155916631,-0.106885108,-0.115160275,-0.115906569,-0.115569373,-0.115032131,-0.22484434,-1.631381625,-0.116122424,-0.305241285,-0.115283852,1.832513442,-0.22387614,-2.1751208,-2.408501922,0.175329568,-0.116838048,-1.805161099,-0.125081927,2.190054853,1.534678486,0.705413717,0.310120303,0.138579994,-0.252836324,-1.333036148,-0.585485003,-2.503837362,-0.056701782,-0.875479123,-0.809585154,-0.129724492,0.282750346,1.878863936,0.477998703,0.160830056,-0.209573451,-0.360354183,0.025311707,-0.081945571,-1.825061807,-1.183999928,1.404492587,-1.36945059,-0.000209608,-0.523827732,-0.428323789,-0.961589227,-1.308793921,-0.303254223,-0.885055989,-0.874959135,-0.674620091,-0.352363878,-2.452930195,-0.291244214,-0.221101213,-1.353543696,1.557651908,-0.36437954,-1.938771621,-0.891353757,2.334123896,-0.256601922,-1.74002047,-2.446374684,0.17336742,4.325371352,-1.258942103,-0.197415566,0.322162457,-1.649384289,-1.457996183,-0.750848663,-2.179450358,0.620680804,5.621414071,-0.499115162,8.035566229,-2.314830508,-2.357394493,0.656831211,-2.200332046,-0.109035488,-0.39279579,0.334568907,2.343086289,0.0639387,-1.43662364,-0.450147055,-0.332172631,-0.119667428,-0.213451688,-0.405821551,-0.658452662,-0.166229659,-1.568895811,-0.735164214,-0.122191343,0.059312757,-0.261702555,0.026854793,-0.182330941,-0.09747566,1.626898033,1.984411192,-1.707802387,-1.325694297,-0.500574447,-2.001201211,-2.07959389,-1.522857883,-2.351775412,-2.002079228,-1.855257914,3.03608387,-0.317270773,4.336423455,-0.740941032,4.882451568,-0.896656642,-3.428706632,5.042938176,-0.785472185,-1.614131315,-0.854480653,-1.925034609,-0.401919339,-0.327542203,-0.359459926,-1.734855198,-0.303446708,0.158111667,-2.190573667,1.293049666,3.33658068,1.95010079,4.944222325,-0.655667964
ZENAC106,-0.450900851,-2.189304848,-0.371037719,-0.257722229,1.533364567,0.203762409,-0.560354644,-0.456869699,-0.338928015,-0.050928919,-0.068323163,0.355881272,-0.851978648,-0.091950641,-0.602525074,-0.463579841,-0.507911125,0.198968318,-0.128775615,-0.662633774,0.635033858,-0.260311095,1.631459742,0.927617184,0.036485478,-0.606655053,-1.80023407,-0.567831335,0.565975559,-0.293969145,-0.134594988,-0.117871496,0.995940921,-0.133068088,-0.127732637,-0.115472784,-0.115784754,1.407152986,-0.11604775,-0.119223592,1.263949716,-0.148702557,-0.128612458,-0.115814722,-0.12223334,-0.115566515,-0.116429762,-0.223632297,1.077888509,-0.116408204,-0.236911863,-0.115633352,-1.184318369,-0.222422493,0.309968916,-0.744842819,-0.149229806,-0.116605749,0.052774083,-0.101159314,-0.106866357,0.09529554,0.74215013,-0.505848847,-0.579941127,-0.231754186,0.356781116,-0.272593798,0.195493921,0.224607962,-0.509287938,1.068437071,-0.129606268,1.126002029,-0.625136375,-0.078773035,-0.583366169,0.821146517,-0.36123146,0.205130672,0.82717384,0.08411279,0.274502374,-0.536428069,0.697856656,0.987281871,-0.531294446,0.830874617,-0.980668523,0.645981162,-0.294877187,-0.782926333,0.143044649,-0.574154492,-0.348079909,-0.85823957,-0.290158243,-0.220781036,-0.847642182,0.794930941,0.578591645,0.258087657,-0.870909586,-0.309303929,-0.255355951,-0.983819794,-0.817594367,0.793953496,0.725886384,0.535938421,-0.19721996,0.181836528,0.79607608,-0.251991853,1.125633233,-0.522803998,0.708308391,0.13497848,-0.482740937,0.063035261,-0.907846646,-1.143678302,0.023476657,-0.713251198,-0.087730023,-0.386623803,-0.105799008,0.996362202,-0.113041034,-0.99750938,-0.449529276,-0.331878831,-0.120495224,-0.19682148,-0.402954412,-0.046548114,-0.162062029,-0.815818489,-0.70906604,-0.123185063,-0.078836758,0.549810958,-0.116219433,-0.117072134,-0.118950713,0.967249743,0.724304499,-0.49927862,-0.316977195,-0.339338664,-0.282762894,-0.735455572,-0.637274266,-0.688240966,-0.577921898,-0.877975847,-0.112026943,-0.316708481,0.727692736,-0.991922908,0.305636969,-0.584050992,-0.833613784,0.452889563,-0.613651191,-1.005468391,-0.754295648,-0.881786187,-0.401398567,-0.325420072,-0.356957178,-0.807294098,-0.302967279,0.803957623,-0.535429845,0.88081855,-0.027777224,0.520947681,0.891060929,-0.514842973
ZENAC112,-0.498118132,1.466144505,0.29765348,0.062542771,0.875047507,0.327370293,-0.514717411,-0.37537674,-0.504570874,-0.138489984,0.856519032,0.569966688,-0.631328893,-0.336530343,-0.598029773,-0.409176415,-0.374409341,0.534235554,-0.138585376,-0.39372629,0.124784069,-0.205723117,1.400284894,-0.598741927,-0.156769125,-0.550681902,-0.046646003,0.04264497,0.200775377,-0.205988176,-0.115643287,-0.118090384,-0.621252401,-0.120013516,-0.121095582,-0.115469081,-0.115396211,-0.827389499,-0.115278863,-0.09362439,-0.411986248,-0.112251481,-0.211024365,-0.115279032,-0.120948638,-0.115536237,-0.115175474,-0.212946052,-0.304020263,-0.116253089,0.215548313,-0.11548238,0.120808832,-0.206625734,-0.664323254,-0.821985084,-0.039099707,-0.116030184,-2.780441012,-0.132226727,0.796330591,-0.304389449,-0.702689278,-0.510921744,-0.656032681,-0.192297895,-0.299030792,1.030122468,-0.48167144,-0.107799566,-1.767078822,-1.370481031,-0.127997523,2.385367513,0.046817564,0.117463503,-0.637124213,-0.282258064,-0.687665369,-1.075476215,-0.608889754,-0.108379679,-0.778563114,0.21356242,1.724726465,-0.842191007,0.531046723,-1.524971126,0.888840247,1.099732512,-0.279545684,-0.424501531,-0.362510176,-0.514415529,-0.333819324,-0.446510939,-0.281849443,-0.220443013,-0.610322211,-0.376906842,-0.330536182,-0.039176152,-0.693247348,-0.248813755,-0.252783906,-0.759554542,-0.464313644,-0.39254406,0.35525097,-0.79265817,-0.196319504,0.108847697,0.90023693,-0.222076641,2.043696767,-0.462872843,-0.49745594,-0.051036979,-0.430949947,-0.181058655,-0.466535822,-0.431432591,-0.041739236,-0.343031968,-0.128463909,-0.378535497,-0.120228048,0.544249829,-0.130533611,-0.74085325,-0.447886946,-0.33142378,-0.120896139,-0.126992396,-0.388533571,0.196834895,-0.164491487,-0.67861292,-0.633287007,-0.122585388,-0.148297242,-0.111947537,-0.118957008,-0.081769004,-0.123109769,0.655149012,0.308253845,-0.772819696,-0.149622113,-0.28875175,-0.624317889,-0.407210928,-0.840196888,-0.301013844,-0.167423465,-0.466316695,-0.010453793,-0.31558583,0.356105296,-0.696547504,0.083314382,-0.311016979,-0.385270312,-0.292026614,-0.217919613,-0.315249911,-0.372141222,-0.297333544,-0.396886624,-0.321400962,-0.35723393,-0.565079178,-0.301906102,-0.43083426,-0.437123572,0.469264305,-0.09340689,-0.681538157,-0.113779167,0.18472044
ZENAC118,-0.820079021,-1.618710934,0.703303779,0.27098056,-0.798443487,-2.513954831,0.037148262,0.710046611,-0.975153207,0.637369081,1.33951712,-2.707712304,-1.042406229,-0.281328354,0.103988044,-0.477198331,1.417885709,-0.404920148,-0.13974111,-0.181237516,-0.128269393,-0.301112548,1.123787721,0.203377708,0.054487299,-0.606655053,-1.807745235,0.709187112,0.190294722,-0.34338713,-0.122380583,-0.115296274,0.060986456,-0.121919398,-0.124703913,-0.115472052,-0.115568506,0.048289444,-0.115703796,-0.121874353,0.328831483,-0.128974557,-0.186939805,-0.115565348,-0.121897478,-0.115503928,-0.115913704,-0.191237908,0.250276332,-0.116343492,-0.105066938,-0.115548462,-0.594308962,-0.21319496,-0.052420618,0.293082793,0.13657786,-0.116153352,-0.433521774,-0.110390419,1.268024466,0.231720529,1.08263255,0.30974877,0.011990903,-0.263627769,-1.334998941,-0.753014041,-1.366979873,0.070048565,0.70319831,1.59818836,-0.129802158,2.355801935,2.527810386,1.71926499,0.014018095,-0.464154093,-0.678546392,-0.613932931,-0.666513393,-1.289257138,0.458616493,0.566332855,0.780637189,-0.610303532,0.505357047,3.32383308,-1.33304022,1.146558473,-0.29843086,-0.707258948,-2.417752457,-0.514730882,-0.350607138,-1.648168218,-0.290479767,-0.220983222,-0.881165055,0.09425644,-1.212804389,-1.485239391,-0.915296978,0.689780966,-0.256255178,-1.690839358,-1.306045554,1.112239634,1.201267177,0.458653375,-0.197362816,0.128949779,-0.538351617,-1.331290987,1.984110137,-1.495590344,-0.98659056,0.540979486,-0.491673372,0.697211406,0.433439415,-0.040253117,-0.14499173,0.228200742,-0.076151379,-0.329770054,-0.141625378,-0.377181268,-0.135913418,-0.003999639,-0.431521261,-0.322282704,-0.121667516,-0.188345217,-0.389862282,0.361906655,-0.140712733,-0.131355893,-0.624235748,-0.121911164,-0.151299646,0.314504739,-0.124541365,-0.183603406,-0.12397017,-0.233927187,-0.187988672,0.306483212,0.347775191,-0.109437063,-1.414591403,-1.337953752,-1.464753766,-1.750135238,-1.554378155,-1.622664769,-0.013522165,-0.316679197,1.204294607,-1.089403883,0.318839328,-0.767262932,-1.504072702,0.441188619,-0.72803952,-1.572123042,-0.785775784,-1.488102689,-0.400949292,-0.3266345,-0.359032627,-1.491197498,-0.303433426,1.135199047,-1.706760963,1.808994275,0.339431154,1.409526083,0.299881596,-0.350269344
ZENAC120,0.857775809,-1.404738216,-0.330266265,1.080025376,1.498184919,-0.007260878,-0.509889794,-0.421098613,0.622007859,-0.095971325,-0.388052551,0.11020525,-0.559671733,-0.334780318,-0.608072065,-0.291526335,-0.120643772,1.115714666,-0.132699164,-0.619491048,0.853511604,-0.228786643,1.438702571,1.20449158,-0.312782335,-0.606655053,0.149657004,-0.517334507,1.487742478,-0.262702051,-0.12621674,-0.117050068,0.822847357,-0.126360359,-0.125572978,-0.115472935,-0.115662677,0.203645233,-0.115604566,-0.128073553,1.002541813,-0.114334028,-0.127976137,-0.115566786,-0.122611995,-0.115547508,-0.115094066,-0.193101092,0.684950805,-0.11648894,-0.471571057,-0.115590565,-0.880807085,-0.219148934,0.239475262,-0.393242258,-0.221062925,-0.115965059,-0.973096314,-0.101527992,-0.419112716,0.075669724,0.343493749,-0.218800418,-0.264949821,-0.206317578,0.356778929,-0.771105403,0.572393191,-0.216278572,-0.926112343,1.039494385,-0.129375062,0.644199375,-1.30301923,-0.228500925,-0.25082042,0.655685096,-0.893446231,0.504187878,-0.729723967,1.011125684,0.78868014,-0.171884413,-0.133202928,0.841164801,-0.585757541,0.91851769,-0.838475699,0.647985025,-0.295702385,-0.532254388,-0.649167286,-0.535893717,-0.34350452,-1.08610829,-0.289628402,-0.22063606,-0.773860037,0.137370696,-0.122442605,-0.602405242,-0.659598956,0.016337639,-0.255402489,-0.843419752,-1.171800759,1.475921625,0.369093565,-0.793446069,-0.196988042,0.010571461,1.635439597,-0.424424203,2.902574888,-0.919038996,-0.650075758,-0.287861227,-0.485584635,-0.011243142,-1.29021926,-0.239611416,-0.039303535,-0.810395868,-0.064317238,-0.388539446,-0.11446075,1.442699224,-0.107380592,-1.136260135,-0.449494907,-0.331371516,-0.120237761,-0.206782021,-0.400841306,-0.255092097,-0.165785958,-0.977599717,-0.70533773,-0.120129854,-0.138312423,0.657404537,-0.113046888,-0.206204102,-0.12346757,1.252892958,1.001128216,-0.240647798,0.035870457,0.067481335,-0.958221678,-1.04516821,-0.380358245,-0.904636852,-0.653403799,-1.336485621,-0.104017063,-0.315150115,0.369983447,-0.572460593,-0.120438864,-0.494379758,-1.588804008,-0.112725432,-0.531473347,-1.206650385,-0.618788976,-1.140198464,-0.396952286,-0.324409137,-0.356686149,-0.685660982,-0.303236808,1.513684083,-0.793220297,0.952460272,-0.096701862,0.103954748,-0.147167253,-0.876911603
ZENAC121,-0.589261154,1.127687896,0.231752973,1.051725106,1.08831,0.200086474,-0.341351876,-0.349390896,-0.62541724,-0.008622248,0.620558868,0.452525753,0.116520789,-0.195888563,-0.595850611,-0.30682585,-0.603403088,0.474681507,-0.138459104,-0.446624848,0.203785879,-0.142544064,1.691577158,1.357502821,-0.12680513,-0.506952877,-1.112293531,-0.106331937,1.446032516,-0.131824721,-0.120579086,-0.116634926,-0.442231036,-0.121265675,-0.12232872,-0.115470479,-0.115478889,-0.614061779,-0.11522744,-0.100155657,-0.13403745,-0.105329766,-0.264823871,-0.11540261,-0.120866384,-0.11550235,-0.115384208,-0.203084146,-0.185288367,-0.116305814,-0.105501207,-0.115530551,-0.129372407,-0.200276169,0.504909947,-0.168862095,0.332800009,-0.115808145,-0.456959829,-0.135065657,0.5658929,-0.434153483,-0.2211529,-1.143629745,-1.122943611,-0.14088055,-0.442678875,-0.006535655,-0.164108889,-0.385061576,-1.29248867,-1.593348544,-0.129525299,0.022631689,0.184246038,-0.847796128,-1.136386349,1.104523521,-0.188205433,-0.265618407,0.901688529,-0.131404439,0.583520829,-0.285471233,2.037599857,1.246360079,-0.111025086,-1.372722592,0.570249553,1.139117259,-0.284342419,-0.526318275,-0.917808613,-0.488778468,-0.342852859,-0.618690426,-0.287908218,-0.220108559,-0.638519056,0.559184336,-0.537207044,-0.246265074,-0.637759338,0.573669719,-0.255242898,-0.778335156,-1.077824244,1.733854178,0.282296778,-0.611347392,-0.195861557,0.070975408,-0.189344735,-0.358978027,2.294932419,-0.600927608,-0.437085553,-0.358412323,-0.480827809,-0.257690126,-1.13656218,-0.795898021,-0.054576037,0.301864633,-0.055462104,-0.384035763,-0.086440776,1.184763406,-0.108217884,-0.932353498,-0.449058923,-0.331386047,-0.120324262,-0.207369612,-0.397840379,-0.294891857,-0.16386722,-0.261953641,-0.705202972,-0.122820424,-0.128654386,-0.651911212,-0.115166932,-0.206204102,-0.122131866,1.27689329,-0.139480037,-1.139031258,0.771633486,-0.240235979,-0.865450887,-0.960890922,-0.459963346,-1.125790845,-0.531906684,-0.970531506,-0.092898657,-0.314906152,0.282963711,-0.50277073,-0.120438864,0.039372735,-0.736697277,-0.255946922,-0.142704735,-1.357303413,-0.444762956,-1.139693963,-0.398222777,-0.323953726,-0.35617919,-0.518048587,-0.302801337,1.782115333,-0.48267302,0.988905435,-0.131674545,-0.882231703,-0.147167253,-0.370976841
ZENAC122,1.389123992,0.663918791,-0.335662421,0.966141965,1.634770799,1.656306471,-0.311362825,-0.410350001,2.056451203,-0.126060713,-0.756676597,1.315075407,0.526933022,-0.273391147,-0.608209013,0.834900963,-0.704967355,1.520694919,0.139892795,-0.696058139,1.050169408,0.477718222,1.599797135,-0.194135253,-0.354448091,2.450878338,-0.228215184,-0.656070282,1.565928153,0.485983259,-0.135745121,-0.118122311,1.56178579,-0.134073702,-0.128601078,-0.115468283,-0.11583869,1.369181865,-0.116088251,-0.138276895,1.426735544,-0.150956189,-0.036455986,-0.115855868,-0.12341467,-0.115508258,-0.116474284,-0.207391723,1.479497788,-0.116539273,-0.211502242,-0.115646663,-1.404493169,-0.206074514,2.064739774,-0.762768242,0.218182131,-0.116651431,-0.533048601,-0.129758837,-0.779109389,-0.810179767,-0.325864892,-0.097795446,0.190011359,0.338586097,0.452096616,-0.214522623,1.177243891,0.158306646,-0.376193269,-1.176741595,-0.070371888,-0.505000812,-1.287279974,-0.615140424,0.188176721,-0.099715906,1.158805756,-0.31325652,0.717675143,1.371678714,0.621942734,-0.697558376,-1.438163512,-0.418841301,-0.480852642,-0.757724484,1.748199925,-0.401395521,-0.293716668,-0.733373535,-1.342412369,-0.584394675,-0.348853318,-1.197073316,-0.290790034,-0.220924341,-0.963546363,-0.105009225,-2.093131091,-0.764017716,-0.961503322,0.383627798,-0.255911774,-1.413812885,-1.410296842,1.788810275,0.823017129,1.008185033,-0.197266014,0.492853943,-1.264273467,-0.786926517,0.317762891,-1.182570781,0.599995865,0.017493446,-0.489013514,-0.064663981,-1.861501747,-0.920356466,0.040567491,-1.79001317,-0.053575395,-0.391479708,0.108391374,2.366073623,-0.094702647,-1.826386328,-0.44988068,-0.332007896,-0.119378259,-0.211851396,-0.403731986,-0.453629341,-0.165863809,-1.638711815,-0.722743999,-0.12118936,-0.105782588,-0.197146488,-0.110608582,-0.210329599,-0.121678678,3.05966744,2.236787163,-1.625667342,-1.037617263,-0.449641064,-1.051368486,-1.250399014,-1.16512241,-1.594866684,-1.338979279,-1.349693318,-0.120258283,-0.316819085,0.825072973,-0.938054406,0.268505366,-0.711295617,-1.620270435,0.027572171,-0.755456233,-1.479456579,-0.750082455,-1.315859575,-0.400906535,-0.326654998,-0.359134772,-1.296678402,-0.303450903,1.839308323,-1.797342641,1.459081599,0.016031052,1.47377571,0.248657245,-0.689956805
ZENAC123,0.929851738,0.48541225,-1.215773033,0.71026381,-0.66627898,0.378393583,0.365787051,-0.03805391,0.762183146,-0.088470338,0.440866204,0.440923486,-0.022453872,0.294797038,-0.557178396,0.031588936,-0.360192362,-0.976471884,-0.131389279,-0.422081632,0.374061021,-0.141546247,1.964895204,-1.435854217,-0.418226847,-0.00401079,-0.400833131,-0.020083166,0.886746992,-0.136270255,-0.123979523,-0.117070573,-0.038018933,-0.123140767,-0.123173239,-0.115471726,-0.115523959,-0.281378435,-0.115634315,-0.105129467,0.220459968,-0.123908871,-0.138247832,-0.115453914,-0.120883426,-0.115487185,-0.115629681,-0.191796139,0.006581625,-0.11641576,-0.0424481,-0.115506348,-0.249776399,-0.209249072,0.440273843,-0.337148485,0.227081027,-0.116156335,-0.64059965,-0.132818911,0.390405809,-0.237680299,1.692741439,-0.766799147,-0.789751251,-0.143886908,-0.4462078,1.644027513,0.065499973,0.029228782,-1.579832043,-1.416969848,-0.120330679,-0.152918701,0.400876065,-0.562319671,-0.79482534,-0.804600745,0.354138949,-0.754208949,0.418498644,0.024060985,0.602038646,-0.128437827,0.95832602,-0.62322994,-0.166918777,-0.856359665,-0.149870414,-0.299553054,-0.296157587,-0.635776858,-0.356370396,-0.53750181,-0.349045691,-0.835773019,-0.289438592,-0.220833024,-0.858385269,0.235274729,-0.089504547,-0.286799397,-0.877783556,0.103093614,-0.255421732,-1.112405159,-0.928840653,-0.460171422,0.786290833,-0.420346195,-0.196763743,0.279965132,-1.108806164,-0.450573115,-0.168673247,-0.827100561,-0.661187568,0.333844065,-0.449840138,0.01277783,-0.859532202,-1.09842337,0.034105242,-1.2268285,-0.130785637,-0.390316183,-0.120322693,0.944243764,-0.116813605,-1.064707333,-0.449515867,-0.332006832,-0.120645419,-0.101039236,-0.404028015,-0.019595674,-0.161344722,-1.191195259,-0.67676899,-0.121139559,-0.151676084,0.119901707,-0.118066043,-0.206204102,-0.12344103,0.923903891,1.289961286,-0.400705697,-0.786321359,-0.084750311,-1.123444949,-0.98995338,-1.282727393,-0.912393226,-0.950670719,-0.996919177,-0.110570468,-0.31671004,0.788252341,-1.084385271,0.4427383,-0.718124019,-0.908526446,0.106477478,-0.74329254,-0.945074012,-0.647025152,-0.945701499,-0.401169532,-0.327216909,-0.358588903,-1.166267132,-0.30327422,-0.501214276,-1.009146724,1.136064953,0.171648928,1.413048659,0.520540319,-0.091553288
ZENAC125,-0.265675889,-1.404738216,-2.595636224,0.108497664,1.113002419,-0.835588867,-0.547671078,-0.43496012,-0.530043022,-0.300057305,0.154631698,-0.527292469,-0.461081443,-0.325478329,-0.738750796,-0.423077537,-0.413197413,0.722823374,-0.138827242,-0.483242364,0.722665162,-0.266388281,2.671748301,0.619487585,-0.234476471,-0.606655053,-0.491719158,-0.219263511,0.075452422,-0.304381253,-0.109908606,-0.113946838,-0.692535419,-0.107299206,-0.111953532,-0.115472361,-0.115328822,-0.631216411,-0.115261393,-0.106320524,-0.485357466,-0.104663554,-0.116432451,-0.115374377,-0.114222149,-0.11550648,-0.116259815,-0.156897433,-0.700480342,-0.115373552,-0.134405255,-0.115413052,0.416670573,-0.159024942,0.131494579,0.699564239,0.458608631,-0.115070947,0.202895737,-0.106395333,0.110870411,-0.422067401,0.191034108,-0.637607187,-0.709295614,-0.240277792,-1.222427062,1.026851605,0.083828913,0.402240458,2.288412697,0.785876206,-0.127932572,0.379941124,-0.27555366,-0.394685453,-0.712144685,1.739514368,2.786320748,-0.690654119,-0.525211678,0.220454619,0.851969159,0.10511165,0.477836387,-0.769494928,0.334097768,0.258511704,-0.99522558,-0.484218669,-0.295536843,-0.634402749,0.340112783,-0.57762712,-0.346279521,-0.581974977,-0.287340642,-0.220794869,-0.759994724,0.399596215,0.634536497,0.307863451,-0.780440222,-0.165479375,-0.253958795,-0.772576124,-0.174329033,0.451023395,0.47599328,-0.502702988,-0.19706667,0.203111111,0.057955342,-0.076981159,0.346420252,-0.414484442,-0.56869079,0.061807399,-0.469840474,-0.113066304,-1.592069085,-1.170744994,0.091846442,-1.97942851,-0.122043777,-0.392371712,-0.058337055,1.835636539,-0.081267106,-1.624618849,-0.450031425,-0.331877089,-0.11986626,-0.186501525,-0.39967891,-0.4358809,-0.165598366,-1.776213801,-0.703271437,-0.121569167,-0.140766342,-0.301176303,-0.114335304,-0.184913879,-0.12330661,2.347118316,2.652353604,-0.950217476,-1.149847607,-0.091142966,-0.780862215,-0.735674098,-1.035320615,-0.840166199,-0.898020019,-0.654349767,-0.184533158,-0.31645869,0.477157748,-0.676604198,-0.012772642,-0.413686525,-0.538273818,-0.162297874,-0.513503198,-0.679097974,-0.581757029,-0.6451638,-0.399534497,-0.325492981,-0.357732419,-1.110107656,-0.302700844,0.447069146,-0.660381248,0.873427376,-0.137884055,0.31470374,0.08293142,1.086655471
ZENAC127,-0.656098285,-2.189304848,-1.376625307,0.471486373,0.685884914,-0.722747796,-0.358533684,-0.357912722,-0.507476479,-0.245498773,0.767450259,-0.640870954,-0.662423847,-0.176132415,-0.660472655,-0.435600679,1.010855841,1.24667843,-0.136814956,-0.160744882,0.010907722,-0.27095174,1.317682045,-0.283509255,-0.092121305,-0.500306065,0.988453956,0.330092121,0.856944418,-0.300502264,-0.131114624,-0.118012371,-0.033735294,-0.129839267,-0.125353565,-0.115473489,-0.115551548,-0.012653301,-0.115852447,-0.11003339,0.22064236,-0.137532947,-0.17187074,-0.115593525,-0.121670676,-0.115562874,-0.115985734,-0.210503691,0.082064797,-0.116431278,-0.142743703,-0.115543724,-0.454537587,-0.222040818,-0.28103987,-0.785332963,0.081613224,-0.116534385,-0.797617534,-0.111934367,0.709346406,0.423974569,0.772690979,0.259496687,0.273089425,-0.243426531,-0.786265494,-0.336912085,-0.652698462,1.428937093,1.196870019,-0.099730791,-0.129619029,1.837944773,0.369186805,0.064219277,0.2727772,1.194219412,-0.751350296,1.11991878,0.14515209,-0.340218981,0.392118847,-0.025772511,0.717013164,1.688951698,-0.569524025,0.382142097,-0.759917964,0.092649265,-0.301649413,-0.751641955,0.363111291,-0.643686098,-0.351420546,-1.624869068,-0.290982749,-0.221050984,-1.125934126,1.156078019,-0.307040665,-1.074721074,-1.003354212,2.016003892,-0.256191913,-1.520385284,-1.727314645,0.233780217,1.545968621,-0.914420247,-0.197380634,0.29194503,-1.231974849,-0.882459836,0.550575802,-1.50126924,0.185159103,0.423643468,-0.475553574,0.141485527,0.348684384,-0.004906062,-0.12282353,0.035015579,-0.12036052,-0.308578751,-0.144884536,-0.340153149,-0.133601128,-0.353231623,-0.427731555,-0.319653127,-0.12155256,-0.180882966,-0.370955926,0.238940655,-0.135556658,-0.306328552,-0.54351558,-0.121296354,-0.15547063,0.05552037,-0.123535415,-0.154982437,-0.124054945,-0.031220437,-0.054209744,0.279987307,0.091041699,-0.20469883,-1.539899417,-1.445296404,-1.485480449,-1.875600757,-1.535221611,-1.691746466,0.340293126,-0.317032921,1.549881462,-1.339922587,0.785090732,-0.815298278,-1.535146268,0.258318995,-0.796693066,-1.906919538,-0.795283027,-1.364436098,-0.401596906,-0.327347472,-0.359239867,-1.421970506,-0.303339244,0.220983462,-1.607142844,1.715934687,0.437257942,2.390914629,1.097902983,-0.139765113
