,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
TCGA-AO-A03V,1.13977982,-0.105999788,0.156277326,0.546937208,-0.105999788,0.281951457,-0.327794111,-0.405046235,0.132412115,-0.105999788,0.334342708,-0.762878071,-0.357304627,-0.539615063,0.693038947,0.027830445,-0.360190077,0.267620045,-0.633055334,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A0J8,0.213281165,-0.105999788,-0.915302108,-0.460899795,-0.105999788,-0.969769048,-0.327794111,0.201901389,0.951877849,-0.105999788,-0.693044423,-0.04024071,-0.596209632,2.187980842,-0.687231061,-0.872739319,-0.360190077,-0.334634406,0.067286837,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A0J9,-0.296435662,-0.105999788,-0.906772315,1.049369927,-0.105999788,-0.554675791,-0.327794111,-0.65907252,0.648090833,-0.105999788,-0.420094931,0.189680748,-0.289069943,0.384855401,-0.696039059,1.036105874,-0.360190077,-0.334634406,-0.367806958,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A0JB,0.804124292,-0.105999788,0.58296057,0.313126752,-0.105999788,-1.175472171,-0.327794111,1.179245407,1.493553863,-0.105999788,-1.015865763,1.907809705,0.598906686,-0.614040026,-0.482048794,0.780707447,-0.360190077,0.156346323,-0.652965964,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A0JF,-0.283087196,-0.105999788,-0.915302108,0.245770535,-0.105999788,0.964846559,-0.327794111,-0.905687528,-0.920546749,-0.105999788,0.552290353,-0.762878071,0.175724424,-1.00936844,-0.857468192,0.745126883,2.234860773,-0.334634406,0.84051449,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A0JI,0.547641114,-0.105999788,0.573736858,-0.339934316,-0.105999788,-0.734658613,-0.327794111,-0.905687528,-0.920546749,-0.105999788,-1.015865763,0.925171715,-0.74458911,-1.077038352,-0.879261658,-1.387985277,-0.360190077,-0.334634406,6.848406261,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A0JM,0.22022651,-0.105999788,0.967333784,-0.931369882,-0.105999788,-1.89703664,-0.327794111,0.629180336,1.205659146,-0.105999788,-1.015865763,-0.566719517,-0.74458911,1.992602167,-1.069532522,-0.057488049,-0.360190077,-0.169265922,-0.362160816,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A12D,-0.768805149,-0.105999788,-0.329955982,-0.931369882,-0.105999788,1.361580827,-0.327794111,1.307575833,-0.693057534,-0.105999788,0.936646432,-0.483278231,0.200803157,-0.285247968,0.780311641,-0.592599871,-0.360190077,-0.237151438,0.303665773,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A12E,0.025457098,-0.105999788,0.41480145,-0.931369882,-0.105999788,-0.733485933,-0.327794111,-0.905687528,-0.920546749,-0.105999788,-0.079078549,-0.762878071,1.732039898,-1.100099939,-1.001521496,2.19016678,-0.360190077,-0.118904683,1.530970445,-0.105999788,-0.144245194,-0.222702364
TCGA-AO-A12F,-1.743842774,-0.105999788,-0.050389286,-0.082090315,-0.105999788,0.320002721,-0.327794111,0.55905154,-0.920546749,-0.105999788,0.428881457,0.663160037,2.055481961,-0.335971459,-1.741883651,0.664483816,-0.360190077,0.399783509,0.400844407,-0.105999788,-0.144245194,4.137892491
